Name,Path,Latitude,Longitude
IMG_5626.HEIC,./photos\IMG_5626.HEIC,42.73411111111111,-84.55415277777777
IMG_5627.HEIC,./photos\IMG_5627.HEIC,42.73588888888889,-84.55535
IMG_5642.HEIC,./photos\IMG_5642.HEIC,42.72465833333334,-84.55411666666666
IMG_5723.heic,./photos\IMG_5723.heic,42.22658055555556,-83.14685
IMG_6212.HEIC,./photos\IMG_6212.HEIC,43.10734166666667,-82.48737222222222
IMG_6265.HEIC,./photos\IMG_6265.HEIC,42.401358333333334,-86.28809444444444
IMG_6326.HEIC,./photos\IMG_6326.HEIC,42.26633888888889,-83.74765000000001
IMG_6375.HEIC,./photos\IMG_6375.HEIC,44.85757777777778,-86.06654444444445
IMG_6378.HEIC,./photos\IMG_6378.HEIC,44.85769166666667,-86.06654444444445
IMG_6383.HEIC,./photos\IMG_6383.HEIC,44.85839166666667,-86.06704722222221
IMG_6384.HEIC,./photos\IMG_6384.HEIC,44.85839166666667,-86.06705555555556
IMG_6397.HEIC,./photos\IMG_6397.HEIC,44.853097222222225,-86.05993611111111
IMG_6415.HEIC,./photos\IMG_6415.HEIC,44.905005555555555,-86.02683333333333
IMG_6730.HEIC,./photos\IMG_6730.HEIC,42.227333333333334,-83.61308333333332
IMG_6806.HEIC,./photos\IMG_6806.HEIC,42.302641666666666,-83.74897777777778
IMG_6817.HEIC,./photos\IMG_6817.HEIC,42.31081666666666,-83.75852222222223
IMG_6834.HEIC,./photos\IMG_6834.HEIC,42.377472222222224,-84.05733611111111
IMG_7495.HEIC,./photos\IMG_7495.HEIC,42.33161666666667,-83.04653055555555
IMG_8837.HEIC,./photos\IMG_8837.HEIC,42.227647222222224,-83.69850833333334
IMG_8843.HEIC,./photos\IMG_8843.HEIC,42.22884722222222,-83.70082222222223
IMG_8909.HEIC,./photos\IMG_8909.HEIC,45.788069444444446,-84.72981944444444
IMG_8929.HEIC,./photos\IMG_8929.HEIC,45.787875,-84.72839444444445
IMG_8936.HEIC,./photos\IMG_8936.HEIC,45.86567222222222,-84.71659722222222
IMG_8946.DNG,./photos\IMG_8946.DNG,45.84659444444445,-84.72706666666667
IMG_8951.HEIC,./photos\IMG_8951.HEIC,45.84636388888889,-84.62069722222222
IMG_8956.HEIC,./photos\IMG_8956.HEIC,45.850405555555554,-84.6246861111111
IMG_8966.HEIC,./photos\IMG_8966.HEIC,45.85775,-84.61614999999999
IMG_8982.HEIC,./photos\IMG_8982.HEIC,45.85809444444445,-84.60644444444443
IMG_8990.HEIC,./photos\IMG_8990.HEIC,46.57409166666667,-85.2534111111111
IMG_8992.JPG,./photos\IMG_8992.JPG,46.57396388888889,-85.25396111111111
IMG_9010.JPG,./photos\IMG_9010.JPG,46.49384722222222,-86.55158055555555
IMG_9016.HEIC,./photos\IMG_9016.HEIC,46.493855555555555,-86.55158333333333
IMG_9025.HEIC,./photos\IMG_9025.HEIC,46.43823611111111,-86.81539166666667
IMG_9029.HEIC,./photos\IMG_9029.HEIC,46.00405833333333,-86.3820111111111
IMG_9306.HEIC,./photos\IMG_9306.HEIC,42.145519444444446,-84.04821111111112
IMG_9308.HEIC,./photos\IMG_9308.HEIC,42.14552777777778,-84.04821111111112
